doi,doi_name
10.1126,American Association for the Advancement of Science (AAAS)
10.1021,American Chemical Society (ACS)
10.1029,American Geophysical Union (AGU)
10.1128,American Society for Microbiology
10.4225,ardcx.ardc2
10.26186,ardcx.ga
10.25914,ardcx.nci
10.21334,bibsys.npolar
10.5523,bl.bristol
10.17863,bl.cam
10.25852,bl.crest
10.7488,bl.ed
10.17632,bl.mendeley
10.5285,bl.nerc
10.22002,caltech.data
10.25989,caltech.hte
10.26131,caltech.ipacdoi
10.26133,caltech.ipacdoi
10.14291,caltech.library
10.7907,caltech.library
10.7909,caltech.library
10.7935,caltech.library
10.20383,carl.frdr
10.6078,cdl.ucb
10.6080,cdl.ucb
10.6071,cdl.ucm
10.25349,cdl.ucsb
10.5069,cdl.ucsd
10.6075,cdl.ucsd
10.7272,cdl.ucsf
10.17182,cern.hepdata
10.5281,cern.zenodo
10.1101,Cold Spring Harbor Laboratory
10.11922,"Computer Network Information Center, Chinese Academy of Sciences"
10.4211,"Consortium of Universities for the Advancement of Hydrologic Science, Inc. (CUAHSI)"
10.7298,cornell.library
10.17605,cos.osf
10.25675,csu.rep1
10.7284,cul.r2r
10.48324,dartlib.dandi
10.20783,dias.dias
10.17190,doe.lbnl
10.5061,dryad.dryad
10.6073,edi.edi
10.1016,Elsevier BV
10.6019,EMBL-EBI
10.23719,epa.epa
10.5067,esdis.eosdis
10.5905,ethz.da-rd
10.3929,ethz.e-coll
10.24435,ethz.marvel
10.2905,europ.data
10.5270,European Space Agency
10.25422,figshare.ariz
10.6084,figshare.ars
10.25392,figshare.lest
10.7910,gdcc.harvard-dv
10.21979,gdcc.ntu
10.1130,Geological Society of America
10.3886,gesis.icpsr
10.13012,illinois.databank
10.17882,inist.ifremer
10.14768,inist.ipsl
10.3886,Inter-university Consortium for Political and Social Research (ICPSR)
10.17611,iris.iris
10.7914,iris.iris
10.15479,ist.rex
10.26009,iu.sd
10.17189,nasapds.nasapds
10.17595,nies.nies
10.18129,nihnci.nci
10.25850,nioz.das
10.18434,nist.admin
10.15138,noaa.gmd
10.25925,noaa.gmd
10.7265,nsidc.datactr
10.21985,nu.arch
10.17608,nzau.data
10.3334,ORNL Environmental Sciences Division
10.1093,Oxford University Press (OUP)
10.1594,pangaea.repository
10.1073,Proceedings of the National Academy of Sciences
10.1371,Public Library of Science (PLoS)
10.4231,purdue.purduelib
10.9732,Revista Brasileira de Estudos Politicos
10.25611,rice.fondren
10.26007,sbn.archive
10.25573,si.figshare
10.1038,Springer Science and Business Media LLC
10.17909,stsci.mast
10.18112,sul.openneuro
10.17612,tdl.digitalrocks
10.17603,tdl.tacc
10.18738,tdl.tdl
10.4049,The American Association of Immunologists
10.17172,tib.hu
10.35097,tib.kit4radar
10.26022,tib.ldeo
10.17617,tib.mpdl
10.5065,ucar.ucar
10.7275,umass.uma
10.7283,unavco.unavco
10.7274,und.library
10.26188,unimelb.repo1
10.26190,unsw.repo
10.5066,usgs.prod
10.26008,wh.whoas
10.1002,Wiley
10.2210,Worldwide Protein Data Bank
10.7936,wustl.lib
10.11998,ISTIC
10.12129,ISTIC
10.12197,ISTIC
10.50849,JaLC
