doi_name,n
NA,1393
caltech.data,156
cern.zenodo,140
figshare.ars,58
Worldwide Protein Data Bank,56
iris.iris,40
unavco.unavco,29
dryad.dryad,26
bl.mendeley,25
gdcc.harvard-dv,23
cos.osf,21
Public Library of Science (PLoS),21
caltech.library,14
esdis.eosdis,14
pangaea.repository,11
ORNL Environmental Sciences Division,10
American Chemical Society (ACS),4
cdl.ucb,4
EMBL-EBI,4
stsci.mast,4
American Geophysical Union (AGU),3
bl.nerc,3
ISTIC,3
iu.sd,3
nsidc.datactr,3
Springer Science and Business Media LLC,3
tib.ldeo,3
American Association for the Advancement of Science (AAAS),2
caltech.ipacdoi,2
cdl.ucm,2
cdl.ucsd,2
cul.r2r,2
doe.lbnl,2
epa.epa,2
ethz.e-coll,2
inist.ifremer,2
noaa.gmd,2
Oxford University Press (OUP),2
tib.kit4radar,2
ucar.ucar,2
umass.uma,2
wustl.lib,2
American Society for Microbiology,1
ardcx.ardc2,1
ardcx.ga,1
ardcx.nci,1
bibsys.npolar,1
bl.bristol,1
bl.cam,1
bl.crest,1
bl.ed,1
caltech.hte,1
carl.frdr,1
cdl.ucsb,1
cdl.ucsf,1
cern.hepdata,1
Cold Spring Harbor Laboratory,1
"Computer Network Information Center, Chinese Academy of Sciences",1
"Consortium of Universities for the Advancement of Hydrologic Science, Inc. (CUAHSI)",1
cornell.library,1
csu.rep1,1
dartlib.dandi,1
dias.dias,1
edi.edi,1
Elsevier BV,1
ethz.da-rd,1
ethz.marvel,1
europ.data,1
European Space Agency,1
figshare.ariz,1
figshare.lest,1
gdcc.ntu,1
Geological Society of America,1
gesis.icpsr,1
illinois.databank,1
inist.ipsl,1
Inter-university Consortium for Political and Social Research (ICPSR),1
ist.rex,1
JaLC,1
nasapds.nasapds,1
nies.nies,1
nihnci.nci,1
nioz.das,1
nist.admin,1
nu.arch,1
nzau.data,1
Proceedings of the National Academy of Sciences,1
purdue.purduelib,1
Revista Brasileira de Estudos Politicos,1
rice.fondren,1
sbn.archive,1
si.figshare,1
tdl.digitalrocks,1
tdl.tacc,1
tdl.tdl,1
The American Association of Immunologists,1
tib.hu,1
tib.mpdl,1
und.library,1
unimelb.repo1,1
unsw.repo,1
usgs.prod,1
wh.whoas,1
Wiley,1
